date,step,search
2016-11-04 00:00:00,2339,55
2016-11-05 00:00:00,330,30
2016-11-06 00:00:00,585,50
2016-11-06 23:00:00,7539,46
2016-11-07 23:00:00,7057,31
2016-11-08 23:00:00,669,18
2016-11-09 23:00:00,7860,38
2016-11-10 23:00:00,8651,13
2016-11-11 23:00:00,10418,30
2016-11-12 23:00:00,516,38
2016-11-13 23:00:00,9337,21
2016-11-14 23:00:00,8233,26
2016-11-15 23:00:00,440,20
2016-11-16 23:00:00,9674,41
2016-11-17 23:00:00,8393,67
2016-11-18 23:00:00,6277,28
2016-11-19 23:00:00,4773,20
2016-11-20 23:00:00,6533,28
2016-11-21 23:00:00,9320,31
2016-11-22 23:00:00,527,128
2016-11-23 23:00:00,20837,24
2016-11-24 23:00:00,213,44
2016-11-25 23:00:00,9090,21
2016-11-26 23:00:00,5133,0
2016-11-27 23:00:00,9388,16
2016-11-28 23:00:00,9021,20
2016-11-29 23:00:00,808,58
2016-11-30 23:00:00,7784,13
2016-12-01 23:00:00,11458,22
2016-12-02 23:00:00,174,55
2016-12-03 23:00:00,4765,28
2016-12-04 23:00:00,11015,22
2016-12-05 23:00:00,101,41
2016-12-06 23:00:00,16792,8
2016-12-07 23:00:00,289,11
2016-12-08 23:00:00,14200,10
2016-12-09 23:00:00,8517,18
2016-12-10 23:00:00,3047,7
2016-12-11 23:00:00,3491,5
2016-12-12 23:00:00,8543,0
2016-12-13 23:00:00,378,0
2016-12-14 23:00:00,7759,0
2016-12-15 23:00:00,5309,0
2016-12-16 23:00:00,1115,0
2016-12-17 23:00:00,4144,0
2016-12-18 23:00:00,1922,0
2016-12-19 23:00:00,2350,0
2016-12-20 23:00:00,7108,0
2016-12-21 23:00:00,2121,0
2016-12-22 23:00:00,2864,0
2016-12-23 23:00:00,8558,0
2016-12-24 23:00:00,2499,0
2016-12-25 23:00:00,1925,0
2016-12-26 23:00:00,2278,0
2016-12-27 23:00:00,1989,0
2016-12-28 23:00:00,1273,0
2016-12-29 23:00:00,3139,0
2016-12-30 23:00:00,8514,0
2016-12-31 23:00:00,1171,0
2017-01-01 23:00:00,3761,0
2017-01-02 23:00:00,7323,0
2017-01-03 23:00:00,10447,16
2017-01-04 23:00:00,3100,2
2017-01-05 23:00:00,2470,0
2017-01-06 23:00:00,1365,0
2017-01-07 23:00:00,1729,22
2017-01-08 23:00:00,1642,19
2017-01-09 23:00:00,1546,13
2017-01-10 23:00:00,1844,35
2017-01-11 23:00:00,1224,15
2017-01-12 23:00:00,2727,14
2017-01-13 23:00:00,4046,8
2017-01-14 23:00:00,1941,11
2017-01-15 23:00:00,2693,12
2017-01-16 23:00:00,7181,5
2017-01-17 23:00:00,4964,6
2017-01-18 23:00:00,3147,7
2017-01-19 23:00:00,4448,0
2017-01-20 23:00:00,2445,0
2017-01-21 23:00:00,6198,0
2017-01-22 23:00:00,5099,0
2017-01-23 23:00:00,11756,11
2017-01-24 23:00:00,6135,18
2017-01-25 23:00:00,14227,27
2017-01-26 23:00:00,12558,25
2017-01-27 23:00:00,8634,32
2017-01-28 23:00:00,344,22
2017-01-29 23:00:00,6713,8
2017-01-30 23:00:00,12449,17
2017-01-31 23:00:00,6464,10
2017-02-01 23:00:00,8962,6
2017-02-02 23:00:00,1566,17
2017-02-03 23:00:00,9639,24
2017-02-04 23:00:00,611,22
2017-02-05 23:00:00,8158,39
2017-02-06 23:00:00,10096,0
2017-02-07 23:00:00,8180,19
2017-02-08 23:00:00,3774,47
2017-02-09 23:00:00,10384,29
2017-02-10 23:00:00,3658,31
2017-02-11 23:00:00,538,21
2017-02-12 23:00:00,8893,42
2017-02-13 23:00:00,10762,20
2017-02-14 23:00:00,7371,17
2017-02-15 23:00:00,11804,6
2017-02-16 23:00:00,5738,73
2017-02-17 23:00:00,10278,73
2017-02-18 23:00:00,8025,15
2017-02-19 23:00:00,830,34
2017-02-20 23:00:00,537,52
2017-02-21 23:00:00,741,62
2017-02-22 23:00:00,8444,33
2017-02-23 23:00:00,12098,28
2017-02-24 23:00:00,6729,11
2017-02-25 23:00:00,1876,47
2017-02-26 23:00:00,9669,9
2017-02-27 23:00:00,8707,21
2017-02-28 23:00:00,7562,26
2017-03-01 23:00:00,9666,34
2017-03-02 23:00:00,2287,21
2017-03-03 23:00:00,346,117
2017-03-04 23:00:00,6588,32
2017-03-05 23:00:00,6818,28
2017-03-06 23:00:00,10116,30
2017-03-07 23:00:00,11782,21
2017-03-08 23:00:00,7067,11
2017-03-09 23:00:00,8194,3
2017-03-10 23:00:00,2755,23
2017-03-11 23:00:00,7323,49
2017-03-13 00:00:00,6688,20
2017-03-14 00:00:00,312,10
2017-03-15 00:00:00,9808,23
2017-03-16 00:00:00,9179,15
2017-03-17 00:00:00,6725,54
2017-03-18 00:00:00,8604,14
2017-03-19 00:00:00,3727,29
2017-03-20 00:00:00,6766,23
